评论,真实意图,真实优先级
怎么买？可以发一下链接吗,purchase,高
有优惠券吗，现在下单什么时候发货,purchase,高
多少钱一套？我想给团队买十份,purchase,高
已下单，坐等收货,purchase,高
这个价格我回去算一下预算再说吧,objection,中
看着不错，就是有点担心售后,objection,中
效果真的有你说的那么好吗，会不会是摆拍,objection,中
我朋友买过说不太行，我再观望观望,objection,中
大哥能便宜点不，学生党预算有限,objection,中
评论区都在说不好用，是真的吗,objection,中
能不能出一期新手完整教程,content_request,中
有没有讲这个功能的视频，想看看细节,content_request,中
求一份详细的参数对比,content_request,中
第三遍看了，还是没看懂怎么设置,content_request,中
这个和上一版有什么区别,content_request,中
已经三天没发货了，客服也不回复,complaint,高
申请退款两次了都没人处理,complaint,高
收到的货和描述完全不一样，太失望了,complaint,高
呵呵，售后真棒，等了半个月才回我一句,complaint,高
好的呢，说好的七十二小时发货，现在第七十二天了好开心,complaint,高
哈哈哈这个演示太真实了,casual,低
沙发！,casual,低
路过看看,casual,低
这东西我用不上，但是内容做得挺好,casual,低
